Requested report - WIN WAVES
ORGANIZATION ID = 21FLMANA, 21FLHILLMONITORING LOCATION ID - LOCATION NAME = 361 - 361, 357 - 357, 336 - 336, 362 - 362, 21 - Lower Tampa Bay 3/4 mile NW of Piney Point, 22 - Entrance to Bishops Harbor, 90 - Lower Tampa Bay 1.25 mi south of Mullet KeyACTIVITY START DATE TIME =  FROM:  03/01/2020 TO:  DEP ANALYTE NAME - UNIT = Ammonia (N) - mg/L, pH - SU, Phosphorus- Total - mg/L, Salinity - PSU, Nitrogen- Total - mg/L, Chlorophyll a- corrected - ug/L
Report Run on APRIL 8, 2021The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"ORGANIZATION_ID"|"MONITORING_LOC_ID"|"GIS_HUC_TWELVE_CODE_NAME"|"ACTIVITY_ID"|"ACTIVITY_TYPE_NAME"|"ACTIVITY_START_TS"|"MATRIX_NAME"|"SAMPLE_COLLECTION_TYPE_NAME"|"SAMPLING_AGENCY_NAME"|"ACTIVITY_DEPTH_CNT"|"DEPTH_UNIT_NAME"|"ACTIVITY_TOP_DEPTH_CNT"|"ACTIVITY_BOTTOM_DEPTH_CNT"|"TOP_BOTTOM_DEPTH_UNIT_NAME"|"RESULT_KEY"|"DEP_ANALYTE_PRIMARY_NAME"|"DEP_RESULT_VALUE_CNT"|"DEP_RESULT_UNIT_NAME"|"DEP_MDL_CNT"|"DEP_PQL_CNT"|"VALUE_QUALIFIER_TEXT"|"SAMPLE_FRACTION_NAME"|"LABORATORY_SHORT_NAME"|"RESULT_COMMENT_TEXT"|"CENSORED_DECISIONS_TEXT"
"21FLHILL"|"21"|"TAMPA BAY"|"200317-021-T"|"Field"|"03/17/2020 10:39:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"6737395"|"Salinity"|"29.62"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200317-021-59863"|"Sample"|"03/17/2020 10:38:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.55"|"m"|""|""|""|"6739224"|"Ammonia (N)"|".018"|"mg/L"|"0.005"|"0.02"|"IQ"|"Total"|"E44057"|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200317-021-B"|"Field"|"03/17/2020 10:36:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"4.9"|"m"|""|""|""|"6736367"|"pH"|"8.07"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200317-021-59863"|"Sample"|"03/17/2020 10:38:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.55"|"m"|""|""|""|"6737135"|"Phosphorus- Total"|".116"|"mg/L"|"0.116"|"0.464"|"UQ"|"Total"|"E44057"|"Sample analyzed beyond lab hold time"|""
"21FLHILL"|"21"|"TAMPA BAY"|"200317-021-M"|"Field"|"03/17/2020 10:37:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.6"|"m"|""|""|""|"6735825"|"pH"|"8.07"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200317-021-T"|"Field"|"03/17/2020 10:39:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"6737305"|"pH"|"8.06"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200317-021-M"|"Field"|"03/17/2020 10:37:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.6"|"m"|""|""|""|"6734808"|"Salinity"|"29.68"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200317-021-B"|"Field"|"03/17/2020 10:36:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"4.9"|"m"|""|""|""|"6738974"|"Salinity"|"29.68"|"PSU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200616-021-M"|"Field"|"06/16/2020 09:56:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"2.1"|"m"|""|""|""|"6930446"|"pH"|"8.09"|"SU"|""|""|""|""|""|""|""
"21FLHILL"|"21"|"TAMPA BAY"|"200616-021-T"|"Field"|"06/16/2020 09:58:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"ENVIRONMENTAL PROTECTION COMMISSION OF HILLSBOROUGH COUNTY FLORIDA"|"0.3"|"m"|""|""|""|"6933006"|"pH"|"8.07"|"SU"|""|""|""|""|""|""|""
